ArrestID,ArrestDatetime,ArrestType,OfficerRace,OfficerGender,OfficerAge,UCR_CODE,Statute,Description,SubjectRace,SubjectGender,SubjectAge
-112760,1/3/2019,Warrant/Taken into Custody,White,Male,31,88B  ,MWARR,WARRANT-MUNICIPAL,White,Male,51
-112760,1/3/2019,Warrant/Taken into Custody,White,Male,31,88A  ,CWARR,WARRANT-COUNTY,White,Male,51
-112759,1/4/2019,On-View,White,Male,34,90E  ,M15-302,PUBLIC INTOX / CONSUMING INTOX BEV - SPIRTS,White,Male,30
-112758,1/4/2019,On-View,White,Male,25,13A  ,21-644.J,DOMESTIC ABUSE BY STRANGULATION (AGGRAVATED ASSAULT),White,Male,31
-112761,1/4/2019,On-View,White,Male,25,23C  ,M15-603,PETTY LARCENY (SHOPLIFTING),White,Male,17
-112761,1/4/2019,On-View,White,Male,25,90B  ,M15-402,CURFEW VIOL,White,Male,17
-112769,1/4/2019,Warrant/Taken into Custody,White,Male,32,35B  ,63-2.405,UNLAWFUL POSSESSION OF PARAPHERNALIA,White,Male,47
-112769,1/4/2019,Warrant/Taken into Custody,White,Male,32,35A  ,63-2.402.B.1,POSSESSION OF CDS,White,Male,47
-112769,1/4/2019,Warrant/Taken into Custody,White,Male,32,87F  ,47-7.602,FAILURE TO CARRY SECURITY VERIFICATION / NO INSURA,White,Male,47
-112769,1/4/2019,Warrant/Taken into Custody,White,Male,32,87F  ,47-6.303,DRIVING WITH LIC. CANCELED/SUSPENDED/REVOKED - DUS,White,Male,47
-113375,1/4/2019,Summoned/Warrant Request,White,Male,54,90Z  ,59-1512,FALSE DECLARATION OF OWNERSHIP IN PAWN,White,Male,22
-112776,1/4/2019,On-View,White,Male,26,35B  ,63-2.405,UNLAWFUL POSSESSION OF PARAPHERNALIA,White,Female,30
-112776,1/4/2019,On-View,White,Male,26,35A  ,63-2.402.B.2,POSSESSION OF MARIJUANA,White,Female,30
-112776,1/4/2019,On-View,White,Male,26,35A  ,63-2.402.B.1,POSSESSION OF CDS,White,Female,30
-112775,1/4/2019,On-View,White,Male,26,35A  ,63-2.415,TRAFFICKING CDS,White,Male,38
-112775,1/4/2019,On-View,White,Male,26,35B  ,63-2.405,UNLAWFUL POSSESSION OF PARAPHERNALIA,White,Male,38
-112775,1/4/2019,On-View,White,Male,26,87F  ,47-6.303,DRIVING WITH LIC. CANCELED/SUSPENDED/REVOKED - DUS,White,Male,38
-112775,1/4/2019,On-View,White,Male,26,87F  ,47-1151,OPERATING VEHICLE WITHOUT PROPER TAG/DECAL,White,Male,38
-112955,1/4/2019,On-View,Black,Male,31,35A  ,M15-408,POSS/MARIJ,White,Male,43
-112771,1/4/2019,On-View,White,Male,,86M  ,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,White,Male,55
-112770,1/4/2019,On-View,Black,Male,31,86M  ,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,White,Female,46
-112886,1/4/2019,Summoned/Warrant Request,White,Male,,23H  ,21-1706,PETIT LARCENY (ALL OTHER LARCENY),Black,Male,32
-112906,1/4/2019,Summoned/Warrant Request,White,Female,54,90Z  ,M3-301,CRUELTY TO ANIMALS,White,Female,28
-112773,1/4/2019,Warrant/Taken into Custody,White,Male,39,88A  ,CWARR,WARRANT-COUNTY,Black,Male,21
-112774,1/4/2019,Warrant/Taken into Custody,White,Male,31,88A  ,CWARR,WARRANT-COUNTY,White,Male,35
-112787,1/4/2019,On-View,White,Male,38,13A  ,21-645,ASSAULT &/OR BATTERY W/DANGEROUS WEAPON,White,Female,47
-112790,1/5/2019,On-View,White,Male,,90Z  ,47-7.606,FAILURE TO MAINTAIN SECURITY / INSURANCE,American Indian or Alaskan Native,Female,26
-112790,1/5/2019,On-View,White,Male,,87F  ,47-14.110,FAILURE TO CARRY REGISTRATION CERTIFICATE,American Indian or Alaskan Native,Female,26
-112790,1/5/2019,On-View,White,Male,,90D  ,47-11.902,DUI - LIQUOR OR DRUGS/APCV,American Indian or Alaskan Native,Female,26
-112797,1/5/2019,On-View,White,Male,32,35A  ,M15-408,POSS/MARIJ,White,Female,18
-112802,1/5/2019,On-View,White,Male,30,86M  ,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,White,Male,17
-112791,1/5/2019,Warrant/Taken into Custody,White,Male,26,88B  ,MWARR,WARRANT-MUNICIPAL,White,Male,35
-112791,1/5/2019,Warrant/Taken into Custody,White,Male,26,35A  ,63-2.402.B.1,POSSESSION OF CDS,White,Male,35
-112953,1/5/2019,On-View,White,Male,42,35A  ,M15-408,POSS/MARIJ,White,Male,35
-112792,1/5/2019,On-View,White,Male,26,90Z  ,21-454,DESTROYING EVIDENCE,White,Male,29
-112792,1/5/2019,On-View,White,Male,26,35A  ,63-2.402.B.1,POSSESSION OF CDS,White,Male,29
-112796,1/5/2019,Warrant/Taken into Custody,White,Female,39,88C  ,OWARR,WARRANT-OTHER,White,Male,43
-112796,1/5/2019,Warrant/Taken into Custody,White,Female,39,88B  ,MWARR,WARRANT-MUNICIPAL,White,Male,43
-112789,1/5/2019,On-View,White,Male,33,88A  ,CWARR,WARRANT-COUNTY,White,Male,34
-112828,1/5/2019,On-View,Black,Female,31,35A  ,M15-408,POSS/MARIJ,White,Male,31
-112956,1/5/2019,On-View,Black,Male,31,35A  ,M15-408,POSS/MARIJ,White,Female,20
-112857,1/5/2019,On-View,White,Male,31,23C  ,M15-603,PETTY LARCENY (SHOPLIFTING),Black,Male,27
-112813,1/5/2019,On-View,White,Male,48,240,21-1720,LARCENY OF AUTO,White,Male,30
-112813,1/5/2019,On-View,White,Male,48,90Z  ,47-4.104,DAMAGING OR TAMPERING WITH VEHICLE,White,Male,30
-112793,1/5/2019,On-View,White,Female,28,35B  ,63-2.405,UNLAWFUL POSSESSION OF PARAPHERNALIA,American Indian or Alaskan Native,Female,38
-112793,1/5/2019,On-View,White,Female,28,90E  ,37-8,PUBLIC INTOXICATION,American Indian or Alaskan Native,Female,38
-112793,1/5/2019,On-View,White,Female,28,90G  ,37-537.A7,TRANSPORTING OPEN BOTTLE OR CONTAINER - LIQUOR,American Indian or Alaskan Native,Female,38
-112794,1/5/2019,On-View,White,Male,39,35B  ,63-2.405,UNLAWFUL POSSESSION OF PARAPHERNALIA,Black,Male,26
-112806,1/5/2019,On-View,White,Male,30,90E  ,M15-302,PUBLIC INTOX / CONSUMING INTOX BEV - SPIRTS,White,Male,19
-112801,1/5/2019,On-View,White,Female,30,90E  ,M15-302,PUBLIC INTOX / CONSUMING INTOX BEV - SPIRTS,White,Male,19
-112800,1/5/2019,On-View,White,Male,31,90E  ,M15-302,PUBLIC INTOX / CONSUMING INTOX BEV - SPIRTS,White,Male,33
-112795,1/5/2019,On-View,White,Male,32,35A  ,63-2.402.B.1,POSSESSION OF CDS,White,Female,45
-112795,1/5/2019,On-View,White,Male,32,87F  ,47-1151,OPERATING VEHICLE WITHOUT PROPER TAG/DECAL,White,Female,45
-112795,1/5/2019,On-View,White,Male,32,90D  ,47-11.902,DUI - LIQUOR OR DRUGS/APCV,White,Female,45
-112798,1/6/2019,On-View,White,Male,39,86M  ,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,White,Female,35
-112809,1/6/2019,On-View,White,Male,,90D  ,47-11.902,DUI - LIQUOR OR DRUGS/APCV,White,Female,35
-112810,1/6/2019,On-View,White,Male,38,13B  ,21-644.C,DOMESTIC ABUSE (SIMPLE ASSAULT),White,Male,38
-112807,1/6/2019,On-View,Black,Male,30,88A  ,CWARR,WARRANT-COUNTY,White,Female,50
-112822,1/6/2019,On-View,American Indian or Alaskan Native,Male,41,35A  ,M15-408,POSS/MARIJ,White,Female,19
-112816,1/6/2019,Warrant/Taken into Custody,White,Male,34,88A  ,CWARR,WARRANT-COUNTY,White,Male,24
-112825,1/6/2019,On-View,White,Female,64,290,M15-602,MOLESTING PROP,White,Female,18
-112814,1/6/2019,Summoned/Warrant Request,White,Male,58,11A  ,21-843.5.E,CHILD SEXUAL ABUSE (FORCIBLE RAPE),Other,Male,48
-112814,1/6/2019,Summoned/Warrant Request,White,Male,58,11D  ,21-1123,LEWD OR INDECENT PROPOSALS/ACTS TO CHILD (FORCIBLE FONDLING),Other,Male,48
-112815,1/6/2019,On-View,White,Female,34,100,21-741,KIDNAPPING,White,Male,30
-112815,1/6/2019,On-View,White,Female,34,13A  ,21-644,ASSAULT AND BATTERY (AGGRAVATED ASSAULT),White,Male,30
-112815,1/6/2019,On-View,White,Female,34,90Z  ,21-1211.1,"INTERRUPTION, DISRUPTION, OR INTERFERENCE WITH EMERGENCY TELEPHONE CALL",White,Male,30
-112817,1/6/2019,On-View,White,Female,39,90Z  ,21-540,OBSTRUCTING OFFICER,White,Female,22
-112818,1/6/2019,On-View,White,Male,35,86M  ,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,Black,Male,21
-112819,1/6/2019,On-View,White,Male,36,35A  ,M15-408,POSS/MARIJ,Black,Male,33
-112811,1/6/2019,On-View,White,Male,36,35A  ,63-2.402.B.1,POSSESSION OF CDS,Black,Male,24
-112823,1/7/2019,On-View,White,Male,26,86M  ,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,White,Female,26
-112826,1/7/2019,Warrant/Taken into Custody,White,Male,25,88B  ,MWARR,WARRANT-MUNICIPAL,American Indian or Alaskan Native,Male,23
-112826,1/7/2019,Warrant/Taken into Custody,White,Male,25,88A  ,CWARR,WARRANT-COUNTY,American Indian or Alaskan Native,Male,23
-112812,1/7/2019,Warrant/Taken into Custody,White,Male,29,35B  ,63-2.405,UNLAWFUL POSSESSION OF PARAPHERNALIA,White,Male,42
-112812,1/7/2019,Warrant/Taken into Custody,White,Male,29,35A  ,63-2.402.B.1,POSSESSION OF CDS,White,Male,42
-112812,1/7/2019,Warrant/Taken into Custody,White,Male,29,90Z  ,21-540.A.A,ELUDING A PEACE OFFICER,White,Male,42
-113054,1/7/2019,Summoned/Warrant Request,White,Male,34,240,21-1720,LARCENY OF AUTO,White,Male,25
-112848,1/7/2019,Warrant/Taken into Custody,White,Male,38,88A  ,CWARR,WARRANT-COUNTY,White,Female,28
-112827,1/7/2019,Warrant/Taken into Custody,White,Male,33,88A  ,CWARR,WARRANT-COUNTY,White,Male,38
-112986,1/7/2019,Summoned/Warrant Request,White,Male,43,13B  ,21-850,RACIAL/ETHNIC/RELIGIOUS HARASSMENT (SIMPLE ASSAULT),White,Female,13
-112987,1/7/2019,Summoned/Warrant Request,White,Male,43,13B  ,21-850,RACIAL/ETHNIC/RELIGIOUS HARASSMENT (SIMPLE ASSAULT),White,Female,12
-112987,1/7/2019,Summoned/Warrant Request,White,Male,43,86M  ,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,White,Female,12
-112836,1/7/2019,On-View,White,Male,31,86M  ,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,White,Male,40
-112830,1/7/2019,On-View,White,Female,30,90D  ,47-11.902.D,AGGRAVATED DUI /APC (=>.15 BAC),Other,Male,28
-112830,1/7/2019,On-View,White,Female,30,520,21-1289.9,CARRYING FIREARMS WHILE UNDER THE INFLUENCE,Other,Male,28
-112830,1/7/2019,On-View,White,Female,30,520,21-1289.18,POSSESSION SAWED-OFF SHOTGUN/RIFLE,Other,Male,28
-112835,1/7/2019,On-View,White,Male,37,13A  ,21-644.D,DOMESTIC ABUSE WITH DANGEROUS WEAPON,White,Male,57
-112834,1/8/2019,Summoned/Warrant Request,White,Male,37,35B  ,63-2.405,UNLAWFUL POSSESSION OF PARAPHERNALIA,White,Female,33
-112834,1/8/2019,Summoned/Warrant Request,White,Male,37,26C  ,21-1531,FALSE PERSONATION,White,Female,33
-112854,1/8/2019,Warrant/Taken into Custody,White,Male,38,88B  ,MWARR,WARRANT-MUNICIPAL,American Indian or Alaskan Native,Female,54
-112881,1/8/2019,Summoned/Warrant Request,White,Male,37,280,21-1713,RECEIVE/POSSESS/CONCEAL STOLEN PROPERTY / KCSP (STOLEN PROPERTY OFFENSE),White,Male,45
-112881,1/8/2019,Summoned/Warrant Request,White,Male,37,35A  ,63-2.402.B.1,POSSESSION OF CDS,White,Male,45
-112840,1/8/2019,On-View,White,Male,39,86M  ,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,White,Male,18
-112843,1/8/2019,On-View,White,Male,33,90E  ,M15-302,PUBLIC INTOX / CONSUMING INTOX BEV - SPIRTS,White,Female,39
-112841,1/8/2019,On-View,Black,Male,30,88A  ,CWARR,WARRANT-COUNTY,White,Male,45
-112896,1/8/2019,On-View,White,Male,43,86M  ,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,White,Female,13
-112853,1/8/2019,On-View,Asian,Male,28,86M  ,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,American Indian or Alaskan Native,Male,20
-113649,1/8/2019,Summoned/Warrant Request,White,Male,54,13A  ,21-1289.17.A,DISCHARGING FIREARM INTO DWELLING F (AGGRAVATED ASSAULT),Black,Male,21
-113649,1/8/2019,Summoned/Warrant Request,White,Male,54,520,21-652.B,USE OF VEHICLE IN DISCHARGE OF WEAPON / SHOOTING F,Black,Male,21
-113649,1/8/2019,Summoned/Warrant Request,White,Male,54,13A  ,21-652.A,SHOOTING WITH INTENT TO KILL,Black,Male,21
-113649,1/8/2019,Summoned/Warrant Request,White,Male,54,520,21-1283.A,POSSESS FIREARM AFTER CONVICTION OF FELONY (AFC),Black,Male,21
-113650,1/8/2019,Summoned/Warrant Request,White,Male,54,13A  ,21-1289.17.A,DISCHARGING FIREARM INTO DWELLING F (AGGRAVATED ASSAULT),Black,Male,22
-113650,1/8/2019,Summoned/Warrant Request,White,Male,54,13A  ,21-652.C,ASSAULT/BATTERY WITH DEADLY WEAPON,Black,Male,22
-113650,1/8/2019,Summoned/Warrant Request,White,Male,54,520,21-652.B,USE OF VEHICLE IN DISCHARGE OF WEAPON / SHOOTING F,Black,Male,22
-113650,1/8/2019,Summoned/Warrant Request,White,Male,54,520,21-1283.A,POSSESS FIREARM AFTER CONVICTION OF FELONY (AFC),Black,Male,22
-113651,1/8/2019,Summoned/Warrant Request,White,Male,54,13A  ,21-1289.17.A,DISCHARGING FIREARM INTO DWELLING F (AGGRAVATED ASSAULT),Black,Male,19
-113651,1/8/2019,Summoned/Warrant Request,White,Male,54,13A  ,21-652.C,ASSAULT/BATTERY WITH DEADLY WEAPON,Black,Male,19
-113651,1/8/2019,Summoned/Warrant Request,White,Male,54,520,21-652.B,USE OF VEHICLE IN DISCHARGE OF WEAPON / SHOOTING F,Black,Male,19
-112844,1/8/2019,On-View,White,Male,35,90D  ,47-11.902,DUI - LIQUOR OR DRUGS/APCV,White,Male,48
-112844,1/8/2019,On-View,White,Male,35,87F  ,47-11.802,SPEEDING,White,Male,48
-112844,1/8/2019,On-View,White,Male,35,90G  ,37-537.A7,TRANSPORTING OPEN BOTTLE OR CONTAINER - LIQUOR,White,Male,48
-112845,1/8/2019,Summoned/Warrant Request,Black,Male,29,13A  ,21-644.J,DOMESTIC ABUSE BY STRANGULATION (AGGRAVATED ASSAULT),Black,Male,29
-112851,1/8/2019,On-View,Asian,Male,28,86M  ,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,White,Female,27
-112882,1/8/2019,Summoned/Warrant Request,White,Female,52,11B  ,21-888,FORCIBLE SODOMY,Asian,Male,42
-112882,1/8/2019,Summoned/Warrant Request,White,Female,52,11D  ,21-1123,LEWD OR INDECENT PROPOSALS/ACTS TO CHILD (FORCIBLE FONDLING),Asian,Male,42
-112882,1/8/2019,Summoned/Warrant Request,White,Female,52,11A  ,21-1114.A,FIRST DEGREE RAPE (FORCIBLE RAPE),Asian,Male,42
-113943,1/8/2019,Summoned/Warrant Request,White,Male,42,270,21-1451,EMBEZZLEMENT,White,Male,42
-113104,1/8/2019,On-View,White,Male,32,35B  ,M15-413,POSSESSION OF DRUG PARAPHERNALIA,White,Male,19
-112852,1/8/2019,Warrant/Taken into Custody,White,Male,31,90Z  ,21-1713,RECIEVE/POSSESS/CONCEAL STOLEN PROPERTY / KCSP (ALL OTHER OFFENSES),Black,Male,20
-112852,1/8/2019,Warrant/Taken into Custody,White,Male,31,520,21-1283D,Possession of a Firearm After Adjudication,Black,Male,20
-112849,1/8/2019,Warrant/Taken into Custody,White,Male,25,88A  ,CWARR,WARRANT-COUNTY,Black,Male,50
-112847,1/8/2019,Summoned/Warrant Request,White,Female,30,23H  ,21-1706,PETIT LARCENY (ALL OTHER LARCENY),White,Male,39
-112855,1/8/2019,On-View,White,Female,27,86M  ,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,White,Female,39
-112888,1/8/2019,Warrant/Taken into Custody,White,Male,29,88A  ,CWARR,WARRANT-COUNTY,White,Male,17
-112846,1/8/2019,On-View,White,Male,43,90Z  ,47-7.606,FAILURE TO MAINTAIN SECURITY / INSURANCE,Black,Male,37
-112846,1/8/2019,On-View,White,Male,43,87F  ,47-6.303,DRIVING WITH LIC. CANCELED/SUSPENDED/REVOKED - DUS,Black,Male,37
-112846,1/8/2019,On-View,White,Male,43,90D  ,47-11.902,DUI - LIQUOR OR DRUGS/APCV,Black,Male,37
-112856,1/9/2019,On-View,White,Male,56,90E  ,M15-302,PUBLIC INTOX / CONSUMING INTOX BEV - SPIRTS,White,Male,27
-112850,1/9/2019,On-View,White,Male,25,86M  ,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,White,Female,67
-112863,1/9/2019,Warrant/Taken into Custody,White,Male,38,88B  ,MWARR,WARRANT-MUNICIPAL,White,Female,40
-112864,1/9/2019,Warrant/Taken into Custody,White,Male,26,88A  ,CWARR,WARRANT-COUNTY,White,Male,33
-112873,1/9/2019,Summoned/Warrant Request,Black,Male,31,90Z  ,21-1378.A,ACT OF VIOLENCE - ATTEMPT TO CONSPIRE OR ENDEAVOR SERIOUS BODILY HARM OR DEATH,White,Male,16
-112867,1/9/2019,On-View,White,Male,31,13B  ,21-644.H,DOMESTIC ABUSE IN PRESENCE OF MINOR CHILD (SIMPLE ASSAULT),American Indian or Alaskan Native,Male,22
-112867,1/9/2019,On-View,White,Male,31,13B  ,21-644.H,DOMESTIC ABUSE IN PRESENCE OF MINOR CHILD (SIMPLE ASSAULT),American Indian or Alaskan Native,Male,22
-112883,1/9/2019,Summoned/Warrant Request,White,Male,57,35A  ,63-2.509.,CULTIVATION OF MARIJUANA,White,Male,62
-112883,1/9/2019,Summoned/Warrant Request,White,Male,57,35B  ,63-2.405,UNLAWFUL POSSESSION OF PARAPHERNALIA,White,Male,62
-112858,1/9/2019,On-View,White,Male,42,86M  ,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,Unknown,Male,25
-112861,1/9/2019,On-View,White,Male,26,86M  ,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,Unknown,Female,21
-112866,1/9/2019,On-View,White,Male,32,86M  ,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,White,Female,55
-112891,1/9/2019,Summoned/Warrant Request,White,Male,28,240,47-4.102,UNAUTHORIZED USE OF A VEHICLE / UUMV FROM NPD (MOTOR VEHICLE THEFT),Black,Male,16
-112862,1/9/2019,On-View,Black,Male,31,13B  ,21-644.E,DOMESTIC ABUSE AGAINST A PREGNANT WOMAN (SIMPLE ASSAULT),Black,Male,22
-113017,1/9/2019,Summoned/Warrant Request,White,Male,34,35B  ,M15-413,POSSESSION OF DRUG PARAPHERNALIA,White,Male,37
-112874,1/10/2019,Summoned/Warrant Request,White,Female,35,13B  ,21-644.F,DOMESTIC ABUSE IN PRESENCE OF MINOR CHILD,White,Male,34
-112870,1/10/2019,On-View,White,Male,29,290,M15-602,MOLESTING PROP,White,Male,53
-112870,1/10/2019,On-View,White,Male,29,90Z  ,M15-406,UNDER INFLUENCE/NARC,White,Male,53
