CaseID,ReportedDate,OfficerRace,OfficerGender,OfficerAge,UCR_CODE,Statute,Description,BaisMotivation,SubjectRole,SubjectRace,SubjectGender,SubjectAge
-334401,1/1/2019,White,Male,33,13C  ,21-641,ASSAULT / THREATS (INTIMIDATION),No Bias,Victim,White,Male,27
-334401,1/1/2019,White,Male,33,13C  ,21-641,ASSAULT / THREATS (INTIMIDATION),No Bias,Suspect,Black,Male,22
-334243,1/1/2019,White,Male,29,35B  ,63-2.405,UNLAWFUL POSSESSION OF PARAPHERNALIA,No Bias,Suspect,White,Male,41
-334243,1/1/2019,White,Male,29,35A  ,63-2.402.B.2,POSSESSION OF MARIJUANA,No Bias,Suspect,White,Male,41
-334243,1/1/2019,White,Male,29,87F  ,47-1151,OPERATING VEHICLE WITHOUT PROPER TAG/DECAL,No Bias,Suspect,White,Male,41
-334243,1/1/2019,White,Male,29,90D  ,47-11.902.D,AGGRAVATED DUI /APC (=>.15 BAC),No Bias,Suspect,White,Male,41
-334243,1/1/2019,White,Male,29,35B  ,63-2.405,UNLAWFUL POSSESSION OF PARAPHERNALIA,No Bias,Reporting Person,White,Female,41
-334243,1/1/2019,White,Male,29,35A  ,63-2.402.B.2,POSSESSION OF MARIJUANA,No Bias,Reporting Person,White,Female,41
-334243,1/1/2019,White,Male,29,87F  ,47-1151,OPERATING VEHICLE WITHOUT PROPER TAG/DECAL,No Bias,Reporting Person,White,Female,41
-334243,1/1/2019,White,Male,29,90D  ,47-11.902.D,AGGRAVATED DUI /APC (=>.15 BAC),No Bias,Reporting Person,White,Female,41
-334252,1/1/2019,White,Female,40,86M  ,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,No Bias,Suspect,White,Female,54
-334251,1/1/2019,White,Male,31,13B  ,21-644.F,DOMESTIC ABUSE IN PRESENCE OF MINOR CHILD,No Bias,Victim,White,Female,51
-334251,1/1/2019,White,Male,31,13B  ,21-644.F,DOMESTIC ABUSE IN PRESENCE OF MINOR CHILD,No Bias,Victim,White,Female,10
-334251,1/1/2019,White,Male,31,13B  ,21-644.F,DOMESTIC ABUSE IN PRESENCE OF MINOR CHILD,No Bias,Suspect,White,Male,48
-334302,1/1/2019,White,Male,42,290,21-1760,MALICIOUS INJURY/DESTRUCTION OF PROPERTY/VANDALISM,No Bias,Suspect,Black,Male,20
-334302,1/1/2019,White,Male,42,220,21-1438,ENTER STRUCTURE W/CERTAIN INTENT - BREAK AND ENTER (BURGLARY),No Bias,Suspect,Black,Male,20
-334302,1/1/2019,White,Male,42,290,21-1760,MALICIOUS INJURY/DESTRUCTION OF PROPERTY/VANDALISM,No Bias,Suspect,Black,Female,20
-334302,1/1/2019,White,Male,42,220,21-1438,ENTER STRUCTURE W/CERTAIN INTENT - BREAK AND ENTER (BURGLARY),No Bias,Suspect,Black,Female,20
-334302,1/1/2019,White,Male,42,290,21-1760,MALICIOUS INJURY/DESTRUCTION OF PROPERTY/VANDALISM,No Bias,Reporting Person,Unknown,Male,36
-334302,1/1/2019,White,Male,42,220,21-1438,ENTER STRUCTURE W/CERTAIN INTENT - BREAK AND ENTER (BURGLARY),No Bias,Reporting Person,Unknown,Male,36
-334250,1/1/2019,White,Male,29,13B  ,21-644.C,DOMESTIC ABUSE (SIMPLE ASSAULT),No Bias,Witness,White,Male,56
-334250,1/1/2019,White,Male,29,13B  ,21-644.C,DOMESTIC ABUSE (SIMPLE ASSAULT),No Bias,Victim,Black,Female,26
-334250,1/1/2019,White,Male,29,13B  ,21-644.C,DOMESTIC ABUSE (SIMPLE ASSAULT),No Bias,Suspect,Unknown,Male,
-334384,1/1/2019,White,Male,34,80N  ,PUBLICDOC,PUBLIC DOCUMENTATION,No Bias,Suspect,White,Female,18
-334384,1/1/2019,White,Male,34,80N  ,PUBLICDOC,PUBLIC DOCUMENTATION,No Bias,Other,Black,Male,
-334249,1/1/2019,White,Male,51,86G  ,FOUNDPROP,FOUND PROPERTY,No Bias,Reporting Person,White,Male,40
-334303,1/1/2019,White,Male,25,23C  ,M15-603,PETTY LARCENY (SHOPLIFTING),No Bias,Victim,White,Male,69
-334303,1/1/2019,White,Male,25,270,21-1451,EMBEZZLEMENT,No Bias,Victim,White,Male,69
-334303,1/1/2019,White,Male,25,23C  ,M15-603,PETTY LARCENY (SHOPLIFTING),No Bias,Suspect,White,Male,56
-334303,1/1/2019,White,Male,25,270,21-1451,EMBEZZLEMENT,No Bias,Suspect,White,Male,56
-334257,1/1/2019,White,Male,25,520,21-1283.A,POSSESS FIREARM AFTER CONVICTION OF FELONY (AFC),No Bias,Witness,Unknown,Male,39
-334257,1/1/2019,White,Male,25,120,21-801,ROBBERY OR ATTEMPTED W/ DANGEROUS WEAPON,No Bias,Witness,Unknown,Male,39
-334257,1/1/2019,White,Male,25,520,21-1283.A,POSSESS FIREARM AFTER CONVICTION OF FELONY (AFC),No Bias,Victim,White,Female,29
-334257,1/1/2019,White,Male,25,120,21-801,ROBBERY OR ATTEMPTED W/ DANGEROUS WEAPON,No Bias,Victim,White,Female,29
-334257,1/1/2019,White,Male,25,520,21-1283.A,POSSESS FIREARM AFTER CONVICTION OF FELONY (AFC),No Bias,Suspect,White,Male,36
-334257,1/1/2019,White,Male,25,120,21-801,ROBBERY OR ATTEMPTED W/ DANGEROUS WEAPON,No Bias,Suspect,White,Male,36
-334258,1/2/2019,White,Male,25,26C  ,21-1531,FALSE PERSONATION,No Bias,Victim,White,Female,24
-334258,1/2/2019,White,Male,25,90Z  ,21-454,DESTROYING EVIDENCE,No Bias,Victim,White,Female,24
-334258,1/2/2019,White,Male,25,23C  ,M15-603,PETTY LARCENY (SHOPLIFTING),No Bias,Victim,White,Female,24
-334258,1/2/2019,White,Male,25,90Z  ,21-540,OBSTRUCTING OFFICER,No Bias,Victim,White,Female,24
-334258,1/2/2019,White,Male,25,90Z  ,57-21,CARRYING WEAPON/DRUGS/ALCOHOL INTO JAIL,No Bias,Victim,White,Female,24
-334258,1/2/2019,White,Male,25,35A  ,63-2.402.B.1,POSSESSION OF CDS,No Bias,Victim,White,Female,24
-334258,1/2/2019,White,Male,25,88A  ,CWARR,WARRANT-COUNTY,No Bias,Victim,White,Female,24
-334258,1/2/2019,White,Male,25,35B  ,63-2.405,UNLAWFUL POSSESSION OF PARAPHERNALIA,No Bias,Victim,White,Female,24
-334258,1/2/2019,White,Male,25,26C  ,21-1531,FALSE PERSONATION,No Bias,Suspect,White,Male,23
-334258,1/2/2019,White,Male,25,90Z  ,21-454,DESTROYING EVIDENCE,No Bias,Suspect,White,Male,23
-334258,1/2/2019,White,Male,25,23C  ,M15-603,PETTY LARCENY (SHOPLIFTING),No Bias,Suspect,White,Male,23
-334258,1/2/2019,White,Male,25,90Z  ,21-540,OBSTRUCTING OFFICER,No Bias,Suspect,White,Male,23
-334258,1/2/2019,White,Male,25,90Z  ,57-21,CARRYING WEAPON/DRUGS/ALCOHOL INTO JAIL,No Bias,Suspect,White,Male,23
-334258,1/2/2019,White,Male,25,35A  ,63-2.402.B.1,POSSESSION OF CDS,No Bias,Suspect,White,Male,23
-334258,1/2/2019,White,Male,25,88A  ,CWARR,WARRANT-COUNTY,No Bias,Suspect,White,Male,23
-334258,1/2/2019,White,Male,25,35B  ,63-2.405,UNLAWFUL POSSESSION OF PARAPHERNALIA,No Bias,Suspect,White,Male,23
-334258,1/2/2019,White,Male,25,26C  ,21-1531,FALSE PERSONATION,No Bias,Suspect,White,Female,22
-334258,1/2/2019,White,Male,25,90Z  ,21-454,DESTROYING EVIDENCE,No Bias,Suspect,White,Female,22
-334258,1/2/2019,White,Male,25,23C  ,M15-603,PETTY LARCENY (SHOPLIFTING),No Bias,Suspect,White,Female,22
-334258,1/2/2019,White,Male,25,90Z  ,21-540,OBSTRUCTING OFFICER,No Bias,Suspect,White,Female,22
-334258,1/2/2019,White,Male,25,90Z  ,57-21,CARRYING WEAPON/DRUGS/ALCOHOL INTO JAIL,No Bias,Suspect,White,Female,22
-334258,1/2/2019,White,Male,25,35A  ,63-2.402.B.1,POSSESSION OF CDS,No Bias,Suspect,White,Female,22
-334258,1/2/2019,White,Male,25,88A  ,CWARR,WARRANT-COUNTY,No Bias,Suspect,White,Female,22
-334258,1/2/2019,White,Male,25,35B  ,63-2.405,UNLAWFUL POSSESSION OF PARAPHERNALIA,No Bias,Suspect,White,Female,22
-334258,1/2/2019,White,Male,25,26C  ,21-1531,FALSE PERSONATION,No Bias,Other,White,Male,30
-334258,1/2/2019,White,Male,25,90Z  ,21-454,DESTROYING EVIDENCE,No Bias,Other,White,Male,30
-334258,1/2/2019,White,Male,25,23C  ,M15-603,PETTY LARCENY (SHOPLIFTING),No Bias,Other,White,Male,30
-334258,1/2/2019,White,Male,25,90Z  ,21-540,OBSTRUCTING OFFICER,No Bias,Other,White,Male,30
-334258,1/2/2019,White,Male,25,90Z  ,57-21,CARRYING WEAPON/DRUGS/ALCOHOL INTO JAIL,No Bias,Other,White,Male,30
-334258,1/2/2019,White,Male,25,35A  ,63-2.402.B.1,POSSESSION OF CDS,No Bias,Other,White,Male,30
-334258,1/2/2019,White,Male,25,88A  ,CWARR,WARRANT-COUNTY,No Bias,Other,White,Male,30
-334258,1/2/2019,White,Male,25,35B  ,63-2.405,UNLAWFUL POSSESSION OF PARAPHERNALIA,No Bias,Other,White,Male,30
-334247,1/2/2019,White,Male,34,520,21-1283.A,POSSESS FIREARM AFTER CONVICTION OF FELONY (AFC),No Bias,Suspect,Black,Male,19
-334247,1/2/2019,White,Male,34,88A  ,CWARR,WARRANT-COUNTY,No Bias,Suspect,Black,Male,19
-334281,1/2/2019,White,Male,26,240,21-1720,LARCENY OF AUTO,No Bias,Victim,White,Male,88
-334339,1/2/2019,White,Female,64,23F  ,21-1435,BURGLARY FROM AUTO - SECOND DEGREE (THEFT FROM MOTOR VEHICLE),No Bias,Victim,White,Female,22
-334263,1/2/2019,White,Male,38,88A  ,CWARR,WARRANT-COUNTY,No Bias,Suspect,White,Female,16
-334263,1/2/2019,White,Male,38,90I  ,RUNAWA,RUNAWAY,No Bias,Suspect,White,Female,16
-334263,1/2/2019,White,Male,38,88A  ,CWARR,WARRANT-COUNTY,No Bias,Reporting Person,White,Female,
-334263,1/2/2019,White,Male,38,90I  ,RUNAWA,RUNAWAY,No Bias,Reporting Person,White,Female,
-334263,1/2/2019,White,Male,38,88A  ,CWARR,WARRANT-COUNTY,No Bias,Reporting Person,White,Female,37
-334263,1/2/2019,White,Male,38,90I  ,RUNAWA,RUNAWAY,No Bias,Reporting Person,White,Female,37
-334273,1/2/2019,White,Male,53,88A  ,CWARR,WARRANT-COUNTY,No Bias,Suspect,American Indian or Alaskan Native,Male,45
-334264,1/2/2019,Black,Male,30,13C  ,21-1172,OBSCENE/THREATENING/HARASSING PHONE CALL (INTIMIDATION),No Bias,Victim,White,Male,61
-334264,1/2/2019,Black,Male,30,13C  ,21-1172,OBSCENE/THREATENING/HARASSING PHONE CALL (INTIMIDATION),No Bias,Suspect,Unknown,Unknown,
-334266,1/2/2019,White,Male,46,23D  ,21-1550.22,TAKING/RECEIVING TAKEN CREDIT CARD (THEFT FROM BUILDING),No Bias,Victim,White,Female,36
-334266,1/2/2019,White,Male,46,23D  ,21-1550.22,TAKING/RECEIVING TAKEN CREDIT CARD (THEFT FROM BUILDING),No Bias,Suspect,Black,Female,39
-334266,1/2/2019,White,Male,46,23D  ,21-1550.22,TAKING/RECEIVING TAKEN CREDIT CARD (THEFT FROM BUILDING),No Bias,Suspect,Black,Female,
-334304,1/2/2019,White,Male,33,290,21-1760,MALICIOUS INJURY/DESTRUCTION OF PROPERTY/VANDALISM,No Bias,Witness,White,Male,65
-334304,1/2/2019,White,Male,33,13C  ,21-1173,STALKING (INTIMIDATION),No Bias,Witness,White,Male,65
-334304,1/2/2019,White,Male,33,290,21-1760,MALICIOUS INJURY/DESTRUCTION OF PROPERTY/VANDALISM,No Bias,Victim,White,Female,47
-334304,1/2/2019,White,Male,33,13C  ,21-1173,STALKING (INTIMIDATION),No Bias,Victim,White,Female,47
-334304,1/2/2019,White,Male,33,290,21-1760,MALICIOUS INJURY/DESTRUCTION OF PROPERTY/VANDALISM,No Bias,Suspect,White,Male,45
-334304,1/2/2019,White,Male,33,13C  ,21-1173,STALKING (INTIMIDATION),No Bias,Suspect,White,Male,45
-334282,1/2/2019,White,Male,31,290,21-1760,MALICIOUS INJURY/DESTRUCTION OF PROPERTY/VANDALISM,No Bias,Victim,White,Male,35
-334282,1/2/2019,White,Male,31,220,21-1708,GRAND LARCENY AT NIGHT (BURGLARY),No Bias,Victim,White,Male,35
-334282,1/2/2019,White,Male,31,290,21-1760,MALICIOUS INJURY/DESTRUCTION OF PROPERTY/VANDALISM,No Bias,Suspect,Unknown,Male,
-334282,1/2/2019,White,Male,31,220,21-1708,GRAND LARCENY AT NIGHT (BURGLARY),No Bias,Suspect,Unknown,Male,
-334270,1/2/2019,White,Male,38,88A  ,CWARR,WARRANT-COUNTY,No Bias,Witness,Black,Male,33
-334270,1/2/2019,White,Male,38,88A  ,CWARR,WARRANT-COUNTY,No Bias,Suspect,Black,Female,33
-334284,1/2/2019,White,Male,31,23F  ,21-1435,BURGLARY FROM AUTO - SECOND DEGREE (THEFT FROM MOTOR VEHICLE),No Bias,Victim,Unknown,Male,22
-334285,1/2/2019,White,Female,35,23H  ,21-1706,PETIT LARCENY (ALL OTHER LARCENY),No Bias,Victim,White,Male,57
-334275,1/2/2019,White,Female,35,86M  ,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,No Bias,Suspect,White,Male,39
-334449,1/2/2019,White,Male,42,26C  ,21-1533.1,FRAUDULENTLY OBTAINING PERSONAL IDENTITY OF OTHERS (IMPERSONATION),No Bias,Victim,White,Female,41
-334286,1/2/2019,White,Male,31,86S  ,OFINFO,OFFICERS INFORMATION,No Bias,Suspect,Unknown,Male,
-334286,1/2/2019,White,Male,31,86S  ,OFINFO,OFFICERS INFORMATION,No Bias,Reporting Person,Unknown,Female,
-334272,1/2/2019,White,Male,29,86M  ,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,No Bias,Suspect,White,Female,50
-334268,1/2/2019,White,Male,33,35A  ,63-2.402.B.1,POSSESSION OF CDS,No Bias,Suspect,White,Female,28
-334268,1/2/2019,White,Male,33,90E  ,37-8,PUBLIC INTOXICATION,No Bias,Suspect,White,Female,28
-334267,1/2/2019,White,Male,30,23F  ,21-1435,BURGLARY FROM AUTO - SECOND DEGREE (THEFT FROM MOTOR VEHICLE),No Bias,Victim,White,Female,20
-334267,1/2/2019,White,Male,30,13A  ,21-645,ASSAULT &/OR BATTERY W/DANGEROUS WEAPON,No Bias,Victim,White,Female,20
-334267,1/2/2019,White,Male,30,23F  ,21-1435,BURGLARY FROM AUTO - SECOND DEGREE (THEFT FROM MOTOR VEHICLE),No Bias,Victim,White,Male,24
-334267,1/2/2019,White,Male,30,13A  ,21-645,ASSAULT &/OR BATTERY W/DANGEROUS WEAPON,No Bias,Victim,White,Male,24
-334267,1/2/2019,White,Male,30,23F  ,21-1435,BURGLARY FROM AUTO - SECOND DEGREE (THEFT FROM MOTOR VEHICLE),No Bias,Suspect,Black,Male,23
-334267,1/2/2019,White,Male,30,13A  ,21-645,ASSAULT &/OR BATTERY W/DANGEROUS WEAPON,No Bias,Suspect,Black,Male,23
-334276,1/2/2019,White,Male,27,86M  ,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,No Bias,Witness,White,Male,49
-334276,1/2/2019,White,Male,27,86M  ,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,No Bias,Suspect,White,Female,38
-334271,1/2/2019,White,Male,36,86M  ,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,No Bias,Suspect,White,Male,55
-334287,1/2/2019,White,Male,50,13B  ,21-644.C,DOMESTIC ABUSE (SIMPLE ASSAULT),No Bias,Victim,White,Female,25
-334287,1/2/2019,White,Male,50,13B  ,21-644.C,DOMESTIC ABUSE (SIMPLE ASSAULT),No Bias,Suspect,White,Male,38
-334287,1/2/2019,White,Male,50,13B  ,21-644.C,DOMESTIC ABUSE (SIMPLE ASSAULT),No Bias,Other,White,Female,4
-334288,1/2/2019,Black,Male,29,90J  ,M15-605,TRESPASSING,No Bias,Suspect,Black,Male,20
-334288,1/2/2019,Black,Male,29,290,DAMAGEDPROP,DAMAGED PROPERTY,No Bias,Suspect,Black,Male,20
-334288,1/2/2019,Black,Male,29,90J  ,M15-605,TRESPASSING,No Bias,Suspect,Black,Female,20
-334288,1/2/2019,Black,Male,29,290,DAMAGEDPROP,DAMAGED PROPERTY,No Bias,Suspect,Black,Female,20
-334305,1/2/2019,White,Male,25,86S  ,OFINFO,OFFICERS INFORMATION,No Bias,Suspect,White,Female,30
-334305,1/2/2019,White,Male,25,86S  ,OFINFO,OFFICERS INFORMATION,No Bias,Suspect,White,Male,43
-334292,1/2/2019,Black,Male,29,35B  ,M15-413,POSSESSION OF DRUG PARAPHERNALIA,No Bias,Suspect,White,Female,25
-334274,1/3/2019,White,Male,27,86M  ,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,No Bias,Suspect,White,Male,18
-334269,1/3/2019,White,Male,31,88A  ,CWARR,WARRANT-COUNTY,No Bias,Suspect,White,Male,31
-334269,1/3/2019,White,Male,31,90E  ,37-8,PUBLIC INTOXICATION,No Bias,Suspect,White,Male,31
-334269,1/3/2019,White,Male,31,90Z  ,21-267,INTERFERRING WITH AN OFFICER (ALL OTHER OFFENSES),No Bias,Suspect,White,Male,31
-334289,1/3/2019,White,Male,37,290,21-1760,MALICIOUS INJURY/DESTRUCTION OF PROPERTY/VANDALISM,No Bias,Suspect,Unknown,Unknown,
-334289,1/3/2019,White,Male,37,290,21-1760,MALICIOUS INJURY/DESTRUCTION OF PROPERTY/VANDALISM,No Bias,Suspect,Black,Male,36
-334289,1/3/2019,White,Male,37,290,21-1760,MALICIOUS INJURY/DESTRUCTION OF PROPERTY/VANDALISM,No Bias,Other,Unknown,Unknown,
-334277,1/3/2019,White,Male,53,86M  ,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,No Bias,Suspect,White,Female,60
-334290,1/3/2019,White,Male,48,26A  ,21-1545,USING FALSE CHECK (FALSE PRETENSES/SWINDLE/CONFIDENCE GAME),No Bias,Victim,White,Male,50
-334298,1/3/2019,White,Male,46,23C  ,21-1705,GRAND LARCENY (SHOPLIFTING),No Bias,Suspect,Black,Male,23
-334298,1/3/2019,White,Male,46,23C  ,21-1705,GRAND LARCENY (SHOPLIFTING),No Bias,Reporting Person,White,Male,27
-334295,1/3/2019,White,Male,26,86M  ,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,No Bias,Suspect,White,Male,18
-334381,1/3/2019,White,Female,64,23E  ,21-1435,BURGLARY - SECOND DEGREE (THEFT FROM COIN OPERATED VENDING MACHINE OR DEVICE),No Bias,Victim,White,Male,36
-334335,1/3/2019,Black,Male,34,23C  ,21-1706,PETIT LARCENY (SHOPLIFTING),No Bias,Reporting Person,White,Male,23
-334333,1/3/2019,White,Male,30,250,21-1577,FORGERY -COUNTERFEIT -- NOTES/CHECKS/BILLS/DRAFTS,No Bias,Victim,Black,Female,66
-334334,1/3/2019,Black,Male,31,220,21-1431,BURGLARY - FIRST DEGREE,No Bias,Victim,White,Female,81
-334334,1/3/2019,Black,Male,31,220,21-1431,BURGLARY - FIRST DEGREE,No Bias,Victim,White,Male,81
-334334,1/3/2019,Black,Male,31,220,21-1431,BURGLARY - FIRST DEGREE,No Bias,Suspect,White,Male,
-334334,1/3/2019,Black,Male,31,220,21-1431,BURGLARY - FIRST DEGREE,No Bias,Suspect,Unknown,Male,
-334334,1/3/2019,Black,Male,31,220,21-1431,BURGLARY - FIRST DEGREE,No Bias,Suspect,Unknown,Male,
-334334,1/3/2019,Black,Male,31,220,21-1431,BURGLARY - FIRST DEGREE,No Bias,Suspect,Unknown,Male,
-334334,1/3/2019,Black,Male,31,220,21-1431,BURGLARY - FIRST DEGREE,No Bias,Reporting Person,White,Female,68
-334306,1/3/2019,White,Female,40,220,21-1435,BURGLARY - SECOND DEGREE (BURGLARY),No Bias,Victim,White,Female,75
-334306,1/3/2019,White,Female,40,290,DAMAGEDPROP,DAMAGED PROPERTY,No Bias,Victim,White,Female,75
-334332,1/3/2019,White,Male,31,23A  ,21-1705,GRAND LARCENY (POCKET-PICKING),No Bias,Victim,White,Female,23
-334332,1/3/2019,White,Male,31,23A  ,21-1705,GRAND LARCENY (POCKET-PICKING),No Bias,Suspect,White,Female,20
-334332,1/3/2019,White,Male,31,23A  ,21-1705,GRAND LARCENY (POCKET-PICKING),No Bias,Suspect,White,Female,13
-334332,1/3/2019,White,Male,31,23A  ,21-1705,GRAND LARCENY (POCKET-PICKING),No Bias,Reporting Person,White,Male,
-334307,1/3/2019,White,Male,29,240,21-1720,LARCENY OF AUTO,No Bias,Victim,Unknown,Male,39
-334297,1/3/2019,White,Male,39,86M  ,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,No Bias,Suspect,White,Male,51
-334301,1/3/2019,White,Male,31,88A  ,CWARR,WARRANT-COUNTY,No Bias,Suspect,White,Male,51
-334301,1/3/2019,White,Male,31,88B  ,MWARR,WARRANT-MUNICIPAL,No Bias,Suspect,White,Male,51
-334380,1/3/2019,White,Female,64,23E  ,21-1435,BURGLARY - SECOND DEGREE (THEFT FROM COIN OPERATED VENDING MACHINE OR DEVICE),No Bias,Victim,White,Male,33
-334300,1/4/2019,White,Male,34,90E  ,M15-302,PUBLIC INTOX / CONSUMING INTOX BEV - SPIRTS,No Bias,Suspect,White,Male,30
-334299,1/4/2019,White,Male,25,13A  ,21-644.J,DOMESTIC ABUSE BY STRANGULATION (AGGRAVATED ASSAULT),No Bias,Victim,White,Female,30
-334299,1/4/2019,White,Male,25,13A  ,21-644.J,DOMESTIC ABUSE BY STRANGULATION (AGGRAVATED ASSAULT),No Bias,Suspect,White,Male,31
-334308,1/4/2019,White,Male,25,90B  ,M15-402,CURFEW VIOL,No Bias,Suspect,White,Male,17
-334308,1/4/2019,White,Male,25,23C  ,M15-603,PETTY LARCENY (SHOPLIFTING),No Bias,Suspect,White,Male,17
-334308,1/4/2019,White,Male,25,90B  ,M15-402,CURFEW VIOL,No Bias,Reporting Person,White,Male,20
-334308,1/4/2019,White,Male,25,23C  ,M15-603,PETTY LARCENY (SHOPLIFTING),No Bias,Reporting Person,White,Male,20
-334315,1/4/2019,White,Male,32,35B  ,63-2.405,UNLAWFUL POSSESSION OF PARAPHERNALIA,No Bias,Suspect,White,Male,47
-334315,1/4/2019,White,Male,32,35A  ,63-2.402.B.1,POSSESSION OF CDS,No Bias,Suspect,White,Male,47
-334315,1/4/2019,White,Male,32,87F  ,47-7.602,FAILURE TO CARRY SECURITY VERIFICATION / NO INSURA,No Bias,Suspect,White,Male,47
-334315,1/4/2019,White,Male,32,87F  ,47-6.303,DRIVING WITH LIC. CANCELED/SUSPENDED/REVOKED - DUS,No Bias,Suspect,White,Male,47
-334331,1/4/2019,White,Male,26,23H  ,21-1707,GRAND LARCENY IN HOUSE OR VESSEL (ALL OTHER LARCENY),No Bias,Witness,White,Male,25
-334331,1/4/2019,White,Male,26,23H  ,21-1707,GRAND LARCENY IN HOUSE OR VESSEL (ALL OTHER LARCENY),No Bias,Witness,White,Male,60
-334331,1/4/2019,White,Male,26,23H  ,21-1707,GRAND LARCENY IN HOUSE OR VESSEL (ALL OTHER LARCENY),No Bias,Victim,White,Female,73
-334331,1/4/2019,White,Male,26,23H  ,21-1707,GRAND LARCENY IN HOUSE OR VESSEL (ALL OTHER LARCENY),No Bias,Victim,White,Male,73
-334331,1/4/2019,White,Male,26,23H  ,21-1707,GRAND LARCENY IN HOUSE OR VESSEL (ALL OTHER LARCENY),No Bias,Suspect,Unknown,Unknown,
-334331,1/4/2019,White,Male,26,23H  ,21-1707,GRAND LARCENY IN HOUSE OR VESSEL (ALL OTHER LARCENY),No Bias,Suspect,White,Female,23
-334330,1/4/2019,White,Male,32,23C  ,21-1731,LARCENY OF MERCHANDISE FROM RETAILER (SHOPLIFTING),No Bias,Reporting Person,White,Female,29
-334329,1/4/2019,White,Male,26,23F  ,21-1435,BURGLARY FROM AUTO - SECOND DEGREE (THEFT FROM MOTOR VEHICLE),No Bias,Victim,White,Female,36
-334342,1/4/2019,White,Male,34,23F  ,21-1435,BURGLARY FROM AUTO - SECOND DEGREE (THEFT FROM MOTOR VEHICLE),No Bias,Victim,White,Female,19
