CaseID,ReportedDate,OfficerRace,OfficerGender,OfficerAge,UCR_CODE,Statute,Description,BaisMotivation,SubjectRole,SubjectRace,SubjectGender,SubjectAge
-321297,1/2/2018,White,Male,37,86M  ,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,No Bias,Reporting Person,White,Female,34
-321303,1/2/2018,White,Male,37,26A  ,21-1671,FRAUDULENT CONVEYANCE,No Bias,Victim,White,Female,51
-321303,1/2/2018,White,Male,37,26A  ,21-1671,FRAUDULENT CONVEYANCE,No Bias,Suspect,White,Male,35
-321350,1/2/2018,White,Male,37,290,DAMAGEDPROP,DAMAGED PROPERTY,No Bias,Reporting Person,White,Male,32
-321350,1/2/2018,White,Male,37,220,21-1435,BURGLARY - SECOND DEGREE (BURGLARY),No Bias,Reporting Person,White,Male,32
-321341,1/2/2018,White,Male,47,23H  ,21-1701,LARCENY (ALL OTHER LARCENY),No Bias,Victim,White,Male,60
-321314,1/2/2018,White,Male,49,90Z  ,21-540,OBSTRUCTING OFFICER,No Bias,Victim,White,Female,38
-321314,1/2/2018,White,Male,49,280,21-1713,RECEIVE/POSSESS/CONCEAL STOLEN PROPERTY / KCSP (STOLEN PROPERTY OFFENSE),No Bias,Victim,White,Female,38
-321314,1/2/2018,White,Male,49,90Z  ,21-540,OBSTRUCTING OFFICER,No Bias,Suspect,White,Female,40
-321314,1/2/2018,White,Male,49,280,21-1713,RECEIVE/POSSESS/CONCEAL STOLEN PROPERTY / KCSP (STOLEN PROPERTY OFFENSE),No Bias,Suspect,White,Female,40
-321314,1/2/2018,White,Male,49,90Z  ,21-540,OBSTRUCTING OFFICER,No Bias,Reporting Person,White,Male,23
-321314,1/2/2018,White,Male,49,280,21-1713,RECEIVE/POSSESS/CONCEAL STOLEN PROPERTY / KCSP (STOLEN PROPERTY OFFENSE),No Bias,Reporting Person,White,Male,23
-321587,1/2/2018,White,Male,50,86G  ,FOUNDPROP,FOUND PROPERTY,No Bias,Suspect,White,Male,35
-321587,1/2/2018,White,Male,50,86G  ,FOUNDPROP,FOUND PROPERTY,No Bias,Suspect,White,Female,36
-321319,1/2/2018,White,Female,37,86M  ,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,No Bias,Suspect,White,Male,34
-321437,1/2/2018,Black,Male,33,290,21-1760,MALICIOUS INJURY/DESTRUCTION OF PROPERTY/VANDALISM,No Bias,Witness,White,Female,13
-321437,1/2/2018,Black,Male,33,23D  ,21-1723,"LARCENY FROM A HOUSE,TENT,BOOTH, RAILROAD CAR",No Bias,Witness,White,Female,13
-321437,1/2/2018,Black,Male,33,290,21-1760,MALICIOUS INJURY/DESTRUCTION OF PROPERTY/VANDALISM,No Bias,Witness,White,Male,66
-321437,1/2/2018,Black,Male,33,23D  ,21-1723,"LARCENY FROM A HOUSE,TENT,BOOTH, RAILROAD CAR",No Bias,Witness,White,Male,66
-321437,1/2/2018,Black,Male,33,290,21-1760,MALICIOUS INJURY/DESTRUCTION OF PROPERTY/VANDALISM,No Bias,Victim,Black,Male,52
-321437,1/2/2018,Black,Male,33,23D  ,21-1723,"LARCENY FROM A HOUSE,TENT,BOOTH, RAILROAD CAR",No Bias,Victim,Black,Male,52
-321437,1/2/2018,Black,Male,33,290,21-1760,MALICIOUS INJURY/DESTRUCTION OF PROPERTY/VANDALISM,No Bias,Victim,Black,Male,14
-321437,1/2/2018,Black,Male,33,23D  ,21-1723,"LARCENY FROM A HOUSE,TENT,BOOTH, RAILROAD CAR",No Bias,Victim,Black,Male,14
-321437,1/2/2018,Black,Male,33,290,21-1760,MALICIOUS INJURY/DESTRUCTION OF PROPERTY/VANDALISM,No Bias,Victim,Black,Male,19
-321437,1/2/2018,Black,Male,33,23D  ,21-1723,"LARCENY FROM A HOUSE,TENT,BOOTH, RAILROAD CAR",No Bias,Victim,Black,Male,19
-321437,1/2/2018,Black,Male,33,290,21-1760,MALICIOUS INJURY/DESTRUCTION OF PROPERTY/VANDALISM,No Bias,Suspect,White,Male,31
-321437,1/2/2018,Black,Male,33,23D  ,21-1723,"LARCENY FROM A HOUSE,TENT,BOOTH, RAILROAD CAR",No Bias,Suspect,White,Male,31
-321327,1/2/2018,White,Male,47,90E  ,M15-302,PUBLIC INTOX,No Bias,Suspect,White,Male,47
-321459,1/2/2018,White,Female,37,13B  ,21-644.H,DOMESTIC ABUSE IN PRESENCE OF MINOR CHILD (SIMPLE ASSAULT),No Bias,Witness,White,Male,4
-321459,1/2/2018,White,Female,37,13B  ,21-644.H,DOMESTIC ABUSE IN PRESENCE OF MINOR CHILD (SIMPLE ASSAULT),No Bias,Witness,White,Male,9
-321459,1/2/2018,White,Female,37,13B  ,21-644.H,DOMESTIC ABUSE IN PRESENCE OF MINOR CHILD (SIMPLE ASSAULT),No Bias,Victim,White,Female,36
-321459,1/2/2018,White,Female,37,13B  ,21-644.H,DOMESTIC ABUSE IN PRESENCE OF MINOR CHILD (SIMPLE ASSAULT),No Bias,Victim,White,Male,16
-321459,1/2/2018,White,Female,37,13B  ,21-644.H,DOMESTIC ABUSE IN PRESENCE OF MINOR CHILD (SIMPLE ASSAULT),No Bias,Suspect,White,Male,37
-321315,1/2/2018,White,Male,32,86G  ,FOUNDPROP,FOUND PROPERTY,No Bias,Suspect,White,Female,30
-321315,1/2/2018,White,Male,32,88B  ,MWARR,WARRANT-MUNICIPAL,No Bias,Suspect,White,Female,30
-321315,1/2/2018,White,Male,32,88A  ,CWARR,WARRANT-COUNTY,No Bias,Suspect,White,Female,30
-321315,1/2/2018,White,Male,32,86G  ,FOUNDPROP,FOUND PROPERTY,No Bias,Suspect,White,Female,34
-321315,1/2/2018,White,Male,32,88B  ,MWARR,WARRANT-MUNICIPAL,No Bias,Suspect,White,Female,34
-321315,1/2/2018,White,Male,32,88A  ,CWARR,WARRANT-COUNTY,No Bias,Suspect,White,Female,34
-321315,1/2/2018,White,Male,32,86G  ,FOUNDPROP,FOUND PROPERTY,No Bias,Other,White,Female,44
-321315,1/2/2018,White,Male,32,88B  ,MWARR,WARRANT-MUNICIPAL,No Bias,Other,White,Female,44
-321315,1/2/2018,White,Male,32,88A  ,CWARR,WARRANT-COUNTY,No Bias,Other,White,Female,44
-321326,1/2/2018,White,Female,50,23F  ,21-1435,BURGLARY FROM AUTO - SECOND DEGREE (THEFT FROM MOTOR VEHICLE),No Bias,Victim,Black,Female,20
-321317,1/2/2018,White,Male,47,290,DAMAGEDPROP,DAMAGED PROPERTY,No Bias,Victim,White,Female,88
-321317,1/2/2018,White,Male,47,220,21-1431,BURGLARY - FIRST DEGREE,No Bias,Victim,White,Female,88
-321317,1/2/2018,White,Male,47,290,DAMAGEDPROP,DAMAGED PROPERTY,No Bias,Suspect,White,Male,
-321317,1/2/2018,White,Male,47,220,21-1431,BURGLARY - FIRST DEGREE,No Bias,Suspect,White,Male,
-321323,1/2/2018,White,Male,36,90E  ,M15-302,PUBLIC INTOX,No Bias,Suspect,White,Male,26
-321313,1/2/2018,White,Male,53,83B  ,MISPER,MISSING PERSON,No Bias,Reporting Person,White,Female,39
-321313,1/2/2018,White,Male,53,83B  ,MISPER,MISSING PERSON,No Bias,Other,American Indian or Alaskan Native,Male,37
-321313,1/2/2018,White,Male,53,83B  ,MISPER,MISSING PERSON,No Bias,Missing Person,American Indian or Alaskan Native,Male,19
-321312,1/2/2018,White,Male,28,86M  ,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,No Bias,Suspect,White,Female,18
-321311,1/2/2018,White,Male,36,86G  ,FOUNDPROP,FOUND PROPERTY,No Bias,Suspect,White,Female,29
-321311,1/2/2018,White,Male,36,35B  ,63-2.405,UNLAWFUL POSSESSION OF PARAPHERNALIA,No Bias,Suspect,White,Female,29
-321311,1/2/2018,White,Male,36,35A  ,63-2.402.B.2,POSSESSION OF MARIJUANA,No Bias,Suspect,White,Female,29
-321311,1/2/2018,White,Male,36,90E  ,37-8,PUBLIC INTOXICATION,No Bias,Suspect,White,Female,29
-321320,1/2/2018,White,Male,28,90D  ,47-11.904,PERSONAL INJURY WHILE DUI,No Bias,Witness,White,Female,
-321320,1/2/2018,White,Male,28,90D  ,47-11.904,PERSONAL INJURY WHILE DUI,No Bias,Victim,White,Male,21
-321320,1/2/2018,White,Male,28,90D  ,47-11.904,PERSONAL INJURY WHILE DUI,No Bias,Victim,White,Female,20
-321320,1/2/2018,White,Male,28,90D  ,47-11.904,PERSONAL INJURY WHILE DUI,No Bias,Suspect,White,Female,52
-321309,1/2/2018,White,Male,34,23H  ,63-2.403,LARCENY/BURGLARY OF CDS (ALL OTHER LARCENY),No Bias,Victim,White,Female,33
-321309,1/2/2018,White,Male,34,23H  ,63-2.403,LARCENY/BURGLARY OF CDS (ALL OTHER LARCENY),No Bias,Suspect,Black,Male,44
-321309,1/2/2018,White,Male,34,23H  ,63-2.403,LARCENY/BURGLARY OF CDS (ALL OTHER LARCENY),No Bias,Suspect,Black,Male,20
-321321,1/2/2018,White,Male,35,90E  ,M15-302,PUBLIC INTOX,No Bias,Suspect,White,Male,36
-321318,1/3/2018,White,Male,,86S  ,OFINFO,OFFICERS INFORMATION,No Bias,Other,White,Female,24
-321318,1/3/2018,White,Male,,86S  ,OFINFO,OFFICERS INFORMATION,No Bias,Other,Black,Male,118
-321318,1/3/2018,White,Male,,86S  ,OFINFO,OFFICERS INFORMATION,No Bias,Other,White,Female,40
-321324,1/3/2018,White,Male,,90Z  ,M15-406,UNDER INFLUENCE/NARC,No Bias,Suspect,White,Female,28
-321382,1/3/2018,White,Male,33,13B  ,21-644.C,DOMESTIC ABUSE (SIMPLE ASSAULT),No Bias,Witness,White,Male,53
-321382,1/3/2018,White,Male,33,13B  ,21-644.C,DOMESTIC ABUSE (SIMPLE ASSAULT),No Bias,Victim,Black,Female,31
-321382,1/3/2018,White,Male,33,13B  ,21-644.C,DOMESTIC ABUSE (SIMPLE ASSAULT),No Bias,Suspect,White,Male,29
-321334,1/3/2018,White,Female,33,13B  ,21-843.5.A,CHILD ABUSE BY INJURY (SIMPLE ASSAULT),No Bias,Victim,Black,Male,13
-321334,1/3/2018,White,Female,33,13B  ,21-843.5.A,CHILD ABUSE BY INJURY (SIMPLE ASSAULT),No Bias,Suspect,White,Female,35
-321344,1/3/2018,White,Male,47,86M  ,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,No Bias,Suspect,White,Male,39
-321328,1/3/2018,White,Male,33,90Z  ,M15-702,INTER W/OFF PROC,No Bias,Suspect,White,Male,25
-321336,1/3/2018,Other,Male,23,23H  ,M15-603,PETTY LARCENY (ALL OTHER LARCENY),No Bias,Victim,White,Male,17
-321339,1/3/2018,White,Male,32,23H  ,21-1701,LARCENY (ALL OTHER LARCENY),No Bias,Victim,White,Female,35
-321394,1/3/2018,White,Male,32,26C  ,21-1533.1,FRAUDULENTLY OBTAINING PERSONAL IDENTITY OF OTHERS (IMPERSONATION),No Bias,Victim,White,Male,25
-321340,1/3/2018,White,Female,39,83D  ,CHILDPROTECTCUST,CHILD WELFARE / PROTECTIVE CUSTODY,No Bias,Suspect,White,Male,
-321340,1/3/2018,White,Female,39,83D  ,CHILDPROTECTCUST,CHILD WELFARE / PROTECTIVE CUSTODY,No Bias,Reporting Person,White,Female,33
-321340,1/3/2018,White,Female,39,83D  ,CHILDPROTECTCUST,CHILD WELFARE / PROTECTIVE CUSTODY,No Bias,Other,White,Female,41
-321359,1/3/2018,White,Male,,86M  ,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,No Bias,Suspect,White,Male,67
-321359,1/3/2018,White,Male,,90Z  ,M15-702,INTER W/OFF PROC,No Bias,Suspect,White,Male,67
-321359,1/3/2018,White,Male,,86M  ,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,No Bias,Reporting Person,White,Male,77
-321359,1/3/2018,White,Male,,90Z  ,M15-702,INTER W/OFF PROC,No Bias,Reporting Person,White,Male,77
-321335,1/3/2018,White,Male,32,23H  ,21-1701,LARCENY (ALL OTHER LARCENY),No Bias,Victim,White,Female,21
-321335,1/3/2018,White,Male,32,23H  ,21-1701,LARCENY (ALL OTHER LARCENY),No Bias,Suspect,White,Male,22
-321355,1/3/2018,White,Male,47,13B  ,21-644.C,DOMESTIC ABUSE (SIMPLE ASSAULT),No Bias,Witness,White,Male,39
-321355,1/3/2018,White,Male,47,13B  ,21-644.C,DOMESTIC ABUSE (SIMPLE ASSAULT),No Bias,Victim,Black,Female,25
-321355,1/3/2018,White,Male,47,13B  ,21-644.C,DOMESTIC ABUSE (SIMPLE ASSAULT),No Bias,Suspect,Black,Male,25
-321329,1/3/2018,White,Male,37,86M  ,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,No Bias,Witness,White,Female,
-321329,1/3/2018,White,Male,37,86M  ,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,No Bias,Suspect,White,Female,58
-321330,1/3/2018,White,Male,48,23D  ,21-1706,PETIT LARCENY (THEFT FROM BUILDING),No Bias,Victim,White,Female,95
-321330,1/3/2018,White,Male,48,23D  ,21-1706,PETIT LARCENY (THEFT FROM BUILDING),No Bias,Reporting Person,White,Female,42
-321331,1/3/2018,White,Male,55,220,21-1431,BURGLARY - FIRST DEGREE,No Bias,Victim,White,Female,21
-321387,1/3/2018,White,Male,32,88A  ,CWARR,WARRANT-COUNTY,No Bias,Suspect,White,Male,41
-321376,1/3/2018,White,Male,38,26B  ,21-1550.22,TAKING/RECEIVING TAKEN CREDIT CARD (CREDIT CARD/AUTOMATED TELLER MACHINE FRAUD),No Bias,Victim,Asian,Male,47
-321376,1/3/2018,White,Male,38,26B  ,21-1550.22,TAKING/RECEIVING TAKEN CREDIT CARD (CREDIT CARD/AUTOMATED TELLER MACHINE FRAUD),No Bias,Suspect,Unknown,Female,
-321485,1/3/2018,White,Male,32,90Z  ,M15-702,INTER W/OFF PROC,No Bias,Suspect,White,Female,23
-321371,1/3/2018,White,Male,28,88B  ,MWARR,WARRANT-MUNICIPAL,No Bias,Suspect,White,Male,25
-321338,1/3/2018,White,Male,38,88B  ,MWARR,WARRANT-MUNICIPAL,No Bias,Suspect,White,Male,41
-321504,1/3/2018,White,Male,38,13B  ,21-644.F,DOMESTIC ABUSE IN PRESENCE OF MINOR CHILD,No Bias,Witness,White,Female,5
-321504,1/3/2018,White,Male,38,13B  ,21-644.F,DOMESTIC ABUSE IN PRESENCE OF MINOR CHILD,No Bias,Witness,White,Male,4
-321504,1/3/2018,White,Male,38,13B  ,21-644.F,DOMESTIC ABUSE IN PRESENCE OF MINOR CHILD,No Bias,Victim,American Indian or Alaskan Native,Female,28
-321504,1/3/2018,White,Male,38,13B  ,21-644.F,DOMESTIC ABUSE IN PRESENCE OF MINOR CHILD,No Bias,Suspect,White,Male,28
-321373,1/4/2018,White,Male,34,90E  ,M15-302,PUBLIC INTOX,No Bias,Suspect,White,Male,36
-321373,1/4/2018,White,Male,34,35A  ,M15-408,POSS/MARIJ,No Bias,Suspect,White,Male,36
-321373,1/4/2018,White,Male,34,35B  ,M15-413,POSSESSION OF DRUG PARAPHERNALIA,No Bias,Suspect,White,Male,36
-321357,1/4/2018,White,Male,48,23D  ,21-1701,LARCENY (THEFT FROM BUILDING),No Bias,Victim,White,Male,54
-321374,1/4/2018,White,Male,33,290,DAMAGEDPROP,DAMAGED PROPERTY,No Bias,Suspect,White,Female,16
-321374,1/4/2018,White,Male,33,220,21-1435,BURGLARY - SECOND DEGREE (BURGLARY),No Bias,Suspect,White,Female,16
-321374,1/4/2018,White,Male,33,290,DAMAGEDPROP,DAMAGED PROPERTY,No Bias,Reporting Person,White,Male,54
-321374,1/4/2018,White,Male,33,220,21-1435,BURGLARY - SECOND DEGREE (BURGLARY),No Bias,Reporting Person,White,Male,54
-321358,1/4/2018,White,Male,53,23D  ,21-1701,LARCENY (THEFT FROM BUILDING),No Bias,Victim,White,Female,59
-321452,1/4/2018,White,Male,,90Z  ,M10-101,HEALTH/SAFETY VIOL,No Bias,Suspect,Unknown,Male,
-321452,1/4/2018,White,Male,,90Z  ,M10-101,HEALTH/SAFETY VIOL,No Bias,Suspect,Unknown,Male,
-321409,1/4/2018,White,Male,47,290,DAMAGEDPROP,DAMAGED PROPERTY,No Bias,Witness,White,Male,39
-321409,1/4/2018,White,Male,47,26B  ,21-1550.25,FRAUDULENT USE OF CREDIT CARD NUMBER,No Bias,Witness,White,Male,39
-321409,1/4/2018,White,Male,47,23F  ,21-1435,BURGLARY FROM AUTO - SECOND DEGREE (THEFT FROM MOTOR VEHICLE),No Bias,Witness,White,Male,39
-321409,1/4/2018,White,Male,47,290,DAMAGEDPROP,DAMAGED PROPERTY,No Bias,Witness,White,Male,
-321409,1/4/2018,White,Male,47,26B  ,21-1550.25,FRAUDULENT USE OF CREDIT CARD NUMBER,No Bias,Witness,White,Male,
-321409,1/4/2018,White,Male,47,23F  ,21-1435,BURGLARY FROM AUTO - SECOND DEGREE (THEFT FROM MOTOR VEHICLE),No Bias,Witness,White,Male,
-321409,1/4/2018,White,Male,47,290,DAMAGEDPROP,DAMAGED PROPERTY,No Bias,Victim,White,Male,59
-321409,1/4/2018,White,Male,47,26B  ,21-1550.25,FRAUDULENT USE OF CREDIT CARD NUMBER,No Bias,Victim,White,Male,59
-321409,1/4/2018,White,Male,47,23F  ,21-1435,BURGLARY FROM AUTO - SECOND DEGREE (THEFT FROM MOTOR VEHICLE),No Bias,Victim,White,Male,59
-321409,1/4/2018,White,Male,47,290,DAMAGEDPROP,DAMAGED PROPERTY,No Bias,Suspect,White,Male,
-321409,1/4/2018,White,Male,47,26B  ,21-1550.25,FRAUDULENT USE OF CREDIT CARD NUMBER,No Bias,Suspect,White,Male,
-321409,1/4/2018,White,Male,47,23F  ,21-1435,BURGLARY FROM AUTO - SECOND DEGREE (THEFT FROM MOTOR VEHICLE),No Bias,Suspect,White,Male,
-321409,1/4/2018,White,Male,47,290,DAMAGEDPROP,DAMAGED PROPERTY,No Bias,Suspect,White,Male,
-321409,1/4/2018,White,Male,47,26B  ,21-1550.25,FRAUDULENT USE OF CREDIT CARD NUMBER,No Bias,Suspect,White,Male,
-321409,1/4/2018,White,Male,47,23F  ,21-1435,BURGLARY FROM AUTO - SECOND DEGREE (THEFT FROM MOTOR VEHICLE),No Bias,Suspect,White,Male,
-321409,1/4/2018,White,Male,47,290,DAMAGEDPROP,DAMAGED PROPERTY,No Bias,Suspect,White,Male,35
-321409,1/4/2018,White,Male,47,26B  ,21-1550.25,FRAUDULENT USE OF CREDIT CARD NUMBER,No Bias,Suspect,White,Male,35
-321409,1/4/2018,White,Male,47,23F  ,21-1435,BURGLARY FROM AUTO - SECOND DEGREE (THEFT FROM MOTOR VEHICLE),No Bias,Suspect,White,Male,35
-321388,1/4/2018,White,Male,29,86M  ,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,No Bias,Suspect,White,Female,15
-321385,1/4/2018,White,Male,31,250,21-1577,FORGERY -COUNTERFEIT -- NOTES/CHECKS/BILLS/DRAFTS,No Bias,Suspect,Black,Male,55
-321385,1/4/2018,White,Male,31,250,21-1577,FORGERY -COUNTERFEIT -- NOTES/CHECKS/BILLS/DRAFTS,No Bias,Reporting Person,White,Female,
-321385,1/4/2018,White,Male,31,250,21-1577,FORGERY -COUNTERFEIT -- NOTES/CHECKS/BILLS/DRAFTS,No Bias,Reporting Person,White,Male,24
-321385,1/4/2018,White,Male,31,250,21-1577,FORGERY -COUNTERFEIT -- NOTES/CHECKS/BILLS/DRAFTS,No Bias,Other,White,Male,62
-321403,1/4/2018,White,Male,32,90E  ,M15-302,PUBLIC INTOX,No Bias,Suspect,White,Male,52
-321381,1/4/2018,White,Male,,290,21-1760.A.2,MALICIOUS INJURY TO PROPERTY - OVER $1000,No Bias,Victim,White,Male,58
-321412,1/4/2018,White,Male,47,23C  ,M15-603,PETTY LARCENY (SHOPLIFTING),No Bias,Suspect,White,Female,22
-321412,1/4/2018,White,Male,47,23C  ,M15-603,PETTY LARCENY (SHOPLIFTING),No Bias,Suspect,White,Male,21
-321412,1/4/2018,White,Male,47,23C  ,M15-603,PETTY LARCENY (SHOPLIFTING),No Bias,Reporting Person,White,Male,24
-321398,1/4/2018,White,Male,34,86S  ,OFINFO,OFFICERS INFORMATION,No Bias,Other,Black,Female,27
-321401,1/4/2018,White,Male,47,220,21-1435,BURGLARY - SECOND DEGREE (BURGLARY),No Bias,Victim,White,Male,22
-321396,1/4/2018,White,Female,33,36A  ,21-843.5.E,CHILD SEXUAL ABUSE (INCEST),No Bias,Victim,White,Male,6
-321396,1/4/2018,White,Female,33,36A  ,21-843.5.E,CHILD SEXUAL ABUSE (INCEST),No Bias,Victim,White,Male,12
-321396,1/4/2018,White,Female,33,36A  ,21-843.5.E,CHILD SEXUAL ABUSE (INCEST),No Bias,Victim,White,Male,16
